gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
128.18;86.2;92.8;176.8035899;144.9071372;139.6030043;133.4144328;81.6337519;54.4;55.1;104.14;102.26;133.0776606;128.4353752;138.5797451;120.9895764;116.7238759;122.209649;126.4478761;195.8228737
132.13;83.1;85.8;166.5170866;137.2961653;136.7060086;125.6983968;73.70983169;54.9;52;88.77;88.91;121.9558965;115.9494655;139.650203;121.9554823;117.1743419;122.8756417;127.2943866;165.5384553
132.13;89.7;95.7;152.0538488;142.8473343;134.1309013;120.484859;81.14275589;57.3;56.8;91.57;94.51;125.599233;125.4552094;140.4170468;122.7361541;117.4981102;123.2923239;127.7941474;191.7967704
132.13;84.5;91.5;148.6365205;135.5659309;135.7725322;121.0235913;77.82664438;54.3;52.8;99.56;94.98;128.8590604;120.5302062;141.4743904;123.0427485;117.7390928;123.629689;127.5668463;176.653046
136.72;89.6;94;145.2882292;134.7626077;135.8690987;119.7549637;81.79238138;55.6;56.1;116.47;104.3;126.9415149;125.3898144;142.812657;123.4776847;118.0753518;124.1534543;126.9522565;176.8000283
136.72;89.8;99.1;151.7086641;141.0038106;140.7939914;120.6065082;85.81099488;57.4;59;115.55;117.33;138.063279;132.4200241;143.8325558;123.5936231;118.5173522;124.6745014;128.3073898;186.4857084
136.72;87.6;93.6;155.3331032;137.3991555;143.2725322;123.8910371;80.85571207;57.1;57.1;105.4;105;139.2138063;125.4421918;144.4076454;124.1804453;119.0256488;125.1070082;128.9116092;178.6320038
136.37;90.1;97.9;157.7493959;138.8410175;142.4678112;124.8294739;83.97542518;58.7;59.6;106.56;114.06;138.063279;129.4880933;145.2216404;124.8708768;119.4529254;125.6259194;129.1823719;190.0481354
136.37;88.9;96.3;164.2043493;145.3602939;139.5386266;129.2783595;82.10964034;59.5;60.8;101.03;113.26;136.7209971;127.423437;145.8564349;125.0370973;119.8750864;125.920859;129.0075829;189.0677482
136.37;89;86.8;170.5212289;143.0327165;141.9206009;128.0271104;75.94575198;81.6;74.8;102.91;95.37;122.3394056;125.4451148;144.7884358;124.6886878;119.7427277;125.8605702;125.9133272;196.4365627
134.84;88.1;86.9;171.3151536;139.4280614;141.2446352;135.2217926;77.19968025;57.7;58.1;92.92;110.56;118.5043145;119.775254;145.794228;124.8607015;120.2856137;126.3292892;125.3577546;191.0770117
134.84;80.8;82.7;170.5557473;140.7669333;139.1845494;130.0256332;73.1584054;53.2;52.5;86.15;94.59;127.9002876;110.9508873;146.1437856;125.4354917;120.6583836;126.590735;128.0808429;169.3387816
134.84;91;96.8;177.1142561;149.8197672;140.1180258;133.4144328;84.22470008;60.7;62.2;107.21;125.05;141.7066155;134.0259104;147.0717545;126.0053799;120.8739435;126.9776126;129.4796264;199.6944182
140.77;87.7;90.8;183.2240249;149.0473411;145.3004292;135.6736325;79.12589536;59.2;59.8;102.5;103.41;130.0095877;121.3264186;148.3335783;127.2630258;121.3674903;127.6960303;130.3558341;198.1306476
140.77;92.6;100.3;168.7953055;150.9732569;143.1759657;131.5549377;85.19913831;63.3;64.7;110.52;120.28;133.2694151;131.6113578;148.99788;127.9189951;121.5227527;128.0879563;130.8115677;207.269311
140.77;91.8;97.2;157.5422851;151.3131244;141.5021459;125.2986923;81.93590329;60.6;61.9;105.31;113.41;138.6385427;126.5956472;149.817138;128.2743861;121.876592;128.5405595;130.496872;199.230742
144.75;96;100.1;154.9534001;151.3543204;140.9871245;122.9699787;85.78833352;60.8;63.7;111.2;128.97;135.9539789;131.6201594;150.7050306;128.8188733;122.1334929;129.1019932;129.9010432;211.2802614
144.75;95.9;105.5;156.057991;154.1453534;144.0450644;127.7142981;89.95046893;63.3;67.9;116.83;137.14;149.1850431;140.9803842;151.4585011;129.0196302;122.5327501;129.4800363;131.4091877;214.8063218
144.75;91.1;98.8;165.2399033;154.2071475;149.1309013;129.4521441;85.04806262;61.8;63.9;109.07;127.47;141.7066155;132.58698;152.6297756;129.5216339;123.129104;129.9547745;132.0599798;192.8832273
145.43;93.9;108.7;168.4846393;155.1031618;154.2167382;130.546987;92.67738522;64.3;69.4;117.95;145.98;152.0613615;143.126895;153.9185183;130.0751823;123.6309086;130.403106;132.3117929;223.3616018
145.43;92;103.1;176.2512944;155.8755879;153.0579399;135.0132511;87.2386602;65.7;69.5;103.66;137.58;147.2674976;133.8465324;155.5809766;129.9613235;124.1549938;130.803284;132.1324786;218.8460625
145.43;98.6;92.3;178.2188471;154.6397061;149.0987124;132.3717252;79.85861249;89.3;82.8;102.57;119.62;130.9683605;129.1730973;155.5439199;129.3029775;124.1646538;130.7662952;129.0135223;226.5709682
143.14;95.1;94.8;181.1874353;146.8948471;150.3862661;141.478038;86.01494706;64.5;66.4;93.55;138.54;130.9683605;129.3984077;156.4488957;129.5538679;124.7359747;131.3477282;128.4506904;220.2295147
143.14;88.6;91.2;179.9792889;147.6981702;148.1008584;138.4194291;82.38913038;60;62.2;89.86;129;141.514861;122.9412648;157.1829104;129.928124;125.1474628;131.6683949;131.4193696;202.9280292
143.14;94;98;181.8087677;153.7642899;146.4914163;133.6924882;88.80984743;67.5;69.7;86.45;121.45;143.8159156;133.9824989;158.4864068;130.8669207;125.6530587;132.4478781;132.9992586;224.8147568
