gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
0.050653364;0.050039525;0.038714512;0.069669535;-0.084453571;0.033838686;0.079828534;0.017669874;0.081198777;0.097550208;0.063763961;0.223007888;0.03624779;0.05203189;0.059721174;0.037359224;0.036179729;0.040148379;0.022602526;0.117032921
0.050653364;0.061243625;0.026962418;0.025208836;-0.012577868;-0.016059074;0.047908436;0.015294477;0.086328083;0.112795494;0.063370699;0.148335433;0.049165047;0.031959781;0.057924866;0.038870078;0.03342184;0.037976121;0.024118862;0.13906646
0.050653364;0.054189329;0.042200354;0.001755584;0.033339916;0.003682398;0;0.031245426;0.109579544;0.121205284;0.02905338;0.201195068;0.06282596;0.042607281;0.059474657;0.040620207;0.034937103;0.038272788;0.023693367;0.019577744
0.063341066;0.053877198;0.056640279;0.095611657;0.082123598;0.060970827;0.076366879;0.070904004;0.075408193;0.139761942;0.143814043;0.151077047;0.063948725;0.045330134;0.060322899;0.042599935;0.035160126;0.038479876;0.023765487;0.179723123
0.063341066;0.031818373;0.046947397;0.104452044;0.055326247;0.065258205;0.087900447;0.048781298;0.099584705;0.130224876;0.188092793;0.241116709;0.05927661;0.047904522;0.059315178;0.04136025;0.03367926;0.038159034;0.023337127;0.077582643
0.063341066;0.082860763;0.060431739;0.058190033;0.109893265;0.041333954;0.034714929;0.051453429;0.109770666;0.159008989;0.056147904;0.177343228;0.073150882;0.049097731;0.057296756;0.041639767;0.034537893;0.038953774;0.022708745;0.120276044
0.057073078;0.068992871;0.062874904;0.06440487;0.116108812;0.036976658;0.026492564;0.047698922;0.089406588;0.12704875;-0.046303347;0.212308457;0.068589971;0.048492794;0.053790806;0.042346886;0.033791655;0.039084402;0.022961872;0.178166195
0.057073078;0.065721007;0.062581512;0.028265677;0.089109095;0.022828429;0.057262475;0.04711203;0.097841026;0.140498591;0.01101655;0.156011824;0.077475312;0.06264189;0.051661852;0.042965615;0.03331896;0.037820357;0.023887157;0.141382188
0.057073078;0.039176806;0.054067221;0.061826514;0.115406579;0.040075816;0.043908823;0.050550305;0.079099248;0.112515245;0.034227242;0.193920693;0.017747906;0.055393854;0.05537505;0.042112213;0.033894425;0.038017064;0.024129242;0.076757121
0.064323091;0.041310222;0.104645245;0.065836912;0.110760936;0.079242916;0.044784619;0.098600288;0.091119904;0.152231293;0.101552599;0.246745;0.09657201;0.100142681;0.058162231;0.040832391;0.034378219;0.03732187;0.023936063;0.161514606
0.064323091;0.034276435;0.068231072;0.070799101;0.06984273;0.092475086;0.043405025;0.060592152;0.099122613;0.133736964;0.02569881;0.194519505;0.074308313;0.049178173;0.064543531;0.038626424;0.035080481;0.03804094;0.02393386;0.146263165
0.064323091;0.102434892;0.06143752;0.044152475;0.078024544;0.049340834;0.033372024;0.050238431;0.090172226;0.101610176;-0.003309328;0.226555988;0.068156576;0.029285014;0.071654521;0.03633818;0.036263033;0.038237016;0.024323432;0.142718678
0.059734282;0.076456437;0.087011377;0.056027186;0.052168225;0.062713703;0.045228158;0.108125769;0.11140805;0.133531393;0.006757145;0.225600733;0.100006402;0.077278973;0.070533181;0.036898035;0.036330272;0.038956316;0.024373413;0.141993702
0.059734282;0.092154892;0.097835295;0.053779576;0.048065233;0.062092771;0.062556807;0.118826488;0.120286166;0.16954183;0.042162941;0.310260642;0.101153779;0.102619073;0.072819192;0.035189789;0.036529468;0.039327278;0.025731855;0.180950047
0.059734282;0.032435276;0.012320484;0.026160369;0.025987825;0.044481726;0.002081979;0.05300931;0.1061839;0.113845318;-0.215223316;-0.029211002;0.014775286;-0.000323956;0.074748234;0.037856331;0.038776394;0.042178403;0.02682001;0.118488471
0.061439136;0.041323579;0.093506391;-0.014230389;0.022546559;-0.004440505;-0.0071989;0.107858586;0.082638089;0.145995202;-0.088591338;0.176648402;0.137579236;0.116722727;0.075706611;0.038381984;0.039647582;0.043584282;0.026409698;0.134813504
0.061439136;0.072873023;0.022672238;0.045766804;0.028778965;0.014507564;0.044187527;0.06321328;0.10488647;0.111062928;0.106987855;0.239765529;0.088089932;0.047616238;0.076773526;0.038253698;0.040391851;0.045203393;0.027913231;0.074929043
0.061439136;0.070444251;0.063766618;0.056439975;0.030301286;0.031130047;0.055438643;0.115906718;0.07775525;0.131509965;0.055590382;0.296613936;0.106190047;0.083942219;0.079035652;0.043022304;0.041539868;0.048449837;0.029117032;0.13937067
