DATE,Payroll,Industry,Income,Sales,Lag,Target
1868-11-01,,,,,0,0
1868-12-01,,,,,0,0
1869-01-01,,,,,0,0
1869-02-01,,,,,0,0
1869-03-01,,,,,0,0
1869-04-01,,,,,0,0
1869-05-01,,,,,0,0
1869-06-01,,,,,0,0
1869-07-01,,,,,0,1
1869-08-01,,,,,1,1
1869-09-01,,,,,1,1
1869-10-01,,,,,1,1
1869-11-01,,,,,1,1
1869-12-01,,,,,1,1
1870-01-01,,,,,1,1
1870-02-01,,,,,1,1
1870-03-01,,,,,1,1
1870-04-01,,,,,1,1
1870-05-01,,,,,1,1
1870-06-01,,,,,1,1
1870-07-01,,,,,1,1
1870-08-01,,,,,1,1
1870-09-01,,,,,1,1
1870-10-01,,,,,1,1
1870-11-01,,,,,1,1
1870-12-01,,,,,1,1
1871-01-01,,,,,1,0
1871-02-01,,,,,0,0
1871-03-01,,,,,0,0
1871-04-01,,,,,0,0
1871-05-01,,,,,0,0
1871-06-01,,,,,0,0
1871-07-01,,,,,0,0
1871-08-01,,,,,0,0
1871-09-01,,,,,0,0
1871-10-01,,,,,0,0
1871-11-01,,,,,0,0
1871-12-01,,,,,0,0
1872-01-01,,,,,0,0
1872-02-01,,,,,0,0
1872-03-01,,,,,0,0
1872-04-01,,,,,0,0
1872-05-01,,,,,0,0
1872-06-01,,,,,0,0
1872-07-01,,,,,0,0
1872-08-01,,,,,0,0
1872-09-01,,,,,0,0
1872-10-01,,,,,0,0
1872-11-01,,,,,0,0
1872-12-01,,,,,0,0
1873-01-01,,,,,0,0
1873-02-01,,,,,0,0
1873-03-01,,,,,0,0
1873-04-01,,,,,0,0
1873-05-01,,,,,0,0
1873-06-01,,,,,0,0
1873-07-01,,,,,0,0
1873-08-01,,,,,0,0
1873-09-01,,,,,0,0
1873-10-01,,,,,0,0
1873-11-01,,,,,0,1
1873-12-01,,,,,1,1
1874-01-01,,,,,1,1
1874-02-01,,,,,1,1
1874-03-01,,,,,1,1
1874-04-01,,,,,1,1
1874-05-01,,,,,1,1
1874-06-01,,,,,1,1
1874-07-01,,,,,1,1
1874-08-01,,,,,1,1
1874-09-01,,,,,1,1
1874-10-01,,,,,1,1
1874-11-01,,,,,1,1
1874-12-01,,,,,1,1
1875-01-01,,,,,1,1
1875-02-01,,,,,1,1
1875-03-01,,,,,1,1
1875-04-01,,,,,1,1
1875-05-01,,,,,1,1
1875-06-01,,,,,1,1
1875-07-01,,,,,1,1
1875-08-01,,,,,1,1
1875-09-01,,,,,1,1
1875-10-01,,,,,1,1
1875-11-01,,,,,1,1
1875-12-01,,,,,1,1
1876-01-01,,,,,1,1
1876-02-01,,,,,1,1
1876-03-01,,,,,1,1
1876-04-01,,,,,1,1
1876-05-01,,,,,1,1
1876-06-01,,,,,1,1
1876-07-01,,,,,1,1
1876-08-01,,,,,1,1
1876-09-01,,,,,1,1
1876-10-01,,,,,1,1
1876-11-01,,,,,1,1
1876-12-01,,,,,1,1
1877-01-01,,,,,1,1
1877-02-01,,,,,1,1
1877-03-01,,,,,1,1
1877-04-01,,,,,1,1
1877-05-01,,,,,1,1
1877-06-01,,,,,1,1
1877-07-01,,,,,1,1
1877-08-01,,,,,1,1
1877-09-01,,,,,1,1
1877-10-01,,,,,1,1
1877-11-01,,,,,1,1
1877-12-01,,,,,1,1
1878-01-01,,,,,1,1
1878-02-01,,,,,1,1
1878-03-01,,,,,1,1
1878-04-01,,,,,1,1
1878-05-01,,,,,1,1
1878-06-01,,,,,1,1
1878-07-01,,,,,1,1
1878-08-01,,,,,1,1
1878-09-01,,,,,1,1
1878-10-01,,,,,1,1
1878-11-01,,,,,1,1
1878-12-01,,,,,1,1
1879-01-01,,,,,1,1
1879-02-01,,,,,1,1
1879-03-01,,,,,1,1
1879-04-01,,,,,1,0
1879-05-01,,,,,0,0
1879-06-01,,,,,0,0
1879-07-01,,,,,0,0
1879-08-01,,,,,0,0
1879-09-01,,,,,0,0
1879-10-01,,,,,0,0
1879-11-01,,,,,0,0
1879-12-01,,,,,0,0
1880-01-01,,,,,0,0
1880-02-01,,,,,0,0
1880-03-01,,,,,0,0
1880-04-01,,,,,0,0
1880-05-01,,,,,0,0
1880-06-01,,,,,0,0
1880-07-01,,,,,0,0
1880-08-01,,,,,0,0
1880-09-01,,,,,0,0
1880-10-01,,,,,0,0
1880-11-01,,,,,0,0
1880-12-01,,,,,0,0
1881-01-01,,,,,0,0
1881-02-01,,,,,0,0
1881-03-01,,,,,0,0
1881-04-01,,,,,0,0
1881-05-01,,,,,0,0
1881-06-01,,,,,0,0
1881-07-01,,,,,0,0
1881-08-01,,,,,0,0
1881-09-01,,,,,0,0
1881-10-01,,,,,0,0
1881-11-01,,,,,0,0
1881-12-01,,,,,0,0
1882-01-01,,,,,0,0
1882-02-01,,,,,0,0
1882-03-01,,,,,0,0
1882-04-01,,,,,0,1
1882-05-01,,,,,1,1
1882-06-01,,,,,1,1
1882-07-01,,,,,1,1
1882-08-01,,,,,1,1
1882-09-01,,,,,1,1
1882-10-01,,,,,1,1
1882-11-01,,,,,1,1
1882-12-01,,,,,1,1
1883-01-01,,,,,1,1
1883-02-01,,,,,1,1
1883-03-01,,,,,1,1
1883-04-01,,,,,1,1
1883-05-01,,,,,1,1
1883-06-01,,,,,1,1
1883-07-01,,,,,1,1
1883-08-01,,,,,1,1
1883-09-01,,,,,1,1
1883-10-01,,,,,1,1
1883-11-01,,,,,1,1
1883-12-01,,,,,1,1
1884-01-01,,,,,1,1
1884-02-01,,,,,1,1
1884-03-01,,,,,1,1
1884-04-01,,,,,1,1
1884-05-01,,,,,1,1
1884-06-01,,,,,1,1
1884-07-01,,,,,1,1
1884-08-01,,,,,1,1
1884-09-01,,,,,1,1
1884-10-01,,,,,1,1
1884-11-01,,,,,1,1
1884-12-01,,,,,1,1
1885-01-01,,,,,1,1
1885-02-01,,,,,1,1
1885-03-01,,,,,1,1
1885-04-01,,,,,1,1
1885-05-01,,,,,1,1
1885-06-01,,,,,1,0
1885-07-01,,,,,0,0
1885-08-01,,,,,0,0
1885-09-01,,,,,0,0
1885-10-01,,,,,0,0
1885-11-01,,,,,0,0
1885-12-01,,,,,0,0
1886-01-01,,,,,0,0
1886-02-01,,,,,0,0
1886-03-01,,,,,0,0
1886-04-01,,,,,0,0
1886-05-01,,,,,0,0
1886-06-01,,,,,0,0
1886-07-01,,,,,0,0
1886-08-01,,,,,0,0
1886-09-01,,,,,0,0
1886-10-01,,,,,0,0
1886-11-01,,,,,0,0
1886-12-01,,,,,0,0
1887-01-01,,,,,0,0
1887-02-01,,,,,0,0
1887-03-01,,,,,0,0
1887-04-01,,,,,0,1
1887-05-01,,,,,1,1
1887-06-01,,,,,1,1
1887-07-01,,,,,1,1
1887-08-01,,,,,1,1
1887-09-01,,,,,1,1
1887-10-01,,,,,1,1
1887-11-01,,,,,1,1
1887-12-01,,,,,1,1
1888-01-01,,,,,1,1
1888-02-01,,,,,1,1
1888-03-01,,,,,1,1
1888-04-01,,,,,1,1
1888-05-01,,,,,1,0
1888-06-01,,,,,0,0
1888-07-01,,,,,0,0
1888-08-01,,,,,0,0
1888-09-01,,,,,0,0
1888-10-01,,,,,0,0
1888-11-01,,,,,0,0
1888-12-01,,,,,0,0
1889-01-01,,,,,0,0
1889-02-01,,,,,0,0
1889-03-01,,,,,0,0
1889-04-01,,,,,0,0
1889-05-01,,,,,0,0
1889-06-01,,,,,0,0
1889-07-01,,,,,0,0
1889-08-01,,,,,0,0
1889-09-01,,,,,0,0
1889-10-01,,,,,0,0
1889-11-01,,,,,0,0
1889-12-01,,,,,0,0
1890-01-01,,,,,0,0
1890-02-01,,,,,0,0
1890-03-01,,,,,0,0
1890-04-01,,,,,0,0
1890-05-01,,,,,0,0
1890-06-01,,,,,0,0
1890-07-01,,,,,0,0
1890-08-01,,,,,0,1
1890-09-01,,,,,1,1
1890-10-01,,,,,1,1
1890-11-01,,,,,1,1
1890-12-01,,,,,1,1
1891-01-01,,,,,1,1
1891-02-01,,,,,1,1
1891-03-01,,,,,1,1
1891-04-01,,,,,1,1
1891-05-01,,,,,1,1
1891-06-01,,,,,1,0
1891-07-01,,,,,0,0
1891-08-01,,,,,0,0
1891-09-01,,,,,0,0
1891-10-01,,,,,0,0
1891-11-01,,,,,0,0
1891-12-01,,,,,0,0
1892-01-01,,,,,0,0
1892-02-01,,,,,0,0
1892-03-01,,,,,0,0
1892-04-01,,,,,0,0
1892-05-01,,,,,0,0
1892-06-01,,,,,0,0
1892-07-01,,,,,0,0
1892-08-01,,,,,0,0
1892-09-01,,,,,0,0
1892-10-01,,,,,0,0
1892-11-01,,,,,0,0
1892-12-01,,,,,0,0
1893-01-01,,,,,0,0
1893-02-01,,,,,0,1
1893-03-01,,,,,1,1
1893-04-01,,,,,1,1
1893-05-01,,,,,1,1
1893-06-01,,,,,1,1
1893-07-01,,,,,1,1
1893-08-01,,,,,1,1
1893-09-01,,,,,1,1
1893-10-01,,,,,1,1
1893-11-01,,,,,1,1
1893-12-01,,,,,1,1
1894-01-01,,,,,1,1
1894-02-01,,,,,1,1
1894-03-01,,,,,1,1
1894-04-01,,,,,1,1
1894-05-01,,,,,1,1
1894-06-01,,,,,1,1
1894-07-01,,,,,1,0
1894-08-01,,,,,0,0
1894-09-01,,,,,0,0
1894-10-01,,,,,0,0
1894-11-01,,,,,0,0
1894-12-01,,,,,0,0
1895-01-01,,,,,0,0
1895-02-01,,,,,0,0
1895-03-01,,,,,0,0
1895-04-01,,,,,0,0
1895-05-01,,,,,0,0
1895-06-01,,,,,0,0
1895-07-01,,,,,0,0
1895-08-01,,,,,0,0
1895-09-01,,,,,0,0
1895-10-01,,,,,0,0
1895-11-01,,,,,0,0
1895-12-01,,,,,0,0
1896-01-01,,,,,0,1
1896-02-01,,,,,1,1
1896-03-01,,,,,1,1
1896-04-01,,,,,1,1
1896-05-01,,,,,1,1
1896-06-01,,,,,1,1
1896-07-01,,,,,1,1
1896-08-01,,,,,1,1
1896-09-01,,,,,1,1
1896-10-01,,,,,1,1
1896-11-01,,,,,1,1
1896-12-01,,,,,1,1
1897-01-01,,,,,1,1
1897-02-01,,,,,1,1
1897-03-01,,,,,1,1
1897-04-01,,,,,1,1
1897-05-01,,,,,1,1
1897-06-01,,,,,1,1
1897-07-01,,,,,1,0
1897-08-01,,,,,0,0
1897-09-01,,,,,0,0
1897-10-01,,,,,0,0
1897-11-01,,,,,0,0
1897-12-01,,,,,0,0
1898-01-01,,,,,0,0
1898-02-01,,,,,0,0
1898-03-01,,,,,0,0
1898-04-01,,,,,0,0
1898-05-01,,,,,0,0
1898-06-01,,,,,0,0
1898-07-01,,,,,0,0
1898-08-01,,,,,0,0
1898-09-01,,,,,0,0
1898-10-01,,,,,0,0
1898-11-01,,,,,0,0
1898-12-01,,,,,0,0
1899-01-01,,,,,0,0
1899-02-01,,,,,0,0
1899-03-01,,,,,0,0
1899-04-01,,,,,0,0
1899-05-01,,,,,0,0
1899-06-01,,,,,0,0
1899-07-01,,,,,0,1
1899-08-01,,,,,1,1
1899-09-01,,,,,1,1
1899-10-01,,,,,1,1
1899-11-01,,,,,1,1
1899-12-01,,,,,1,1
1900-01-01,,,,,1,1
1900-02-01,,,,,1,1
1900-03-01,,,,,1,1
1900-04-01,,,,,1,1
1900-05-01,,,,,1,1
1900-06-01,,,,,1,1
1900-07-01,,,,,1,1
1900-08-01,,,,,1,1
1900-09-01,,,,,1,1
1900-10-01,,,,,1,1
1900-11-01,,,,,1,1
1900-12-01,,,,,1,1
1901-01-01,,,,,1,0
1901-02-01,,,,,0,0
1901-03-01,,,,,0,0
1901-04-01,,,,,0,0
1901-05-01,,,,,0,0
1901-06-01,,,,,0,0
1901-07-01,,,,,0,0
1901-08-01,,,,,0,0
1901-09-01,,,,,0,0
1901-10-01,,,,,0,0
1901-11-01,,,,,0,0
1901-12-01,,,,,0,0
1902-01-01,,,,,0,0
1902-02-01,,,,,0,0
1902-03-01,,,,,0,0
1902-04-01,,,,,0,0
1902-05-01,,,,,0,0
1902-06-01,,,,,0,0
1902-07-01,,,,,0,0
1902-08-01,,,,,0,0
1902-09-01,,,,,0,0
1902-10-01,,,,,0,1
1902-11-01,,,,,1,1
1902-12-01,,,,,1,1
1903-01-01,,,,,1,1
1903-02-01,,,,,1,1
1903-03-01,,,,,1,1
1903-04-01,,,,,1,1
1903-05-01,,,,,1,1
1903-06-01,,,,,1,1
1903-07-01,,,,,1,1
1903-08-01,,,,,1,1
1903-09-01,,,,,1,1
1903-10-01,,,,,1,1
1903-11-01,,,,,1,1
1903-12-01,,,,,1,1
1904-01-01,,,,,1,1
1904-02-01,,,,,1,1
1904-03-01,,,,,1,1
1904-04-01,,,,,1,1
1904-05-01,,,,,1,1
1904-06-01,,,,,1,1
1904-07-01,,,,,1,1
1904-08-01,,,,,1,1
1904-09-01,,,,,1,0
1904-10-01,,,,,0,0
1904-11-01,,,,,0,0
1904-12-01,,,,,0,0
1905-01-01,,,,,0,0
1905-02-01,,,,,0,0
1905-03-01,,,,,0,0
1905-04-01,,,,,0,0
1905-05-01,,,,,0,0
1905-06-01,,,,,0,0
1905-07-01,,,,,0,0
1905-08-01,,,,,0,0
1905-09-01,,,,,0,0
1905-10-01,,,,,0,0
1905-11-01,,,,,0,0
1905-12-01,,,,,0,0
1906-01-01,,,,,0,0
1906-02-01,,,,,0,0
1906-03-01,,,,,0,0
1906-04-01,,,,,0,0
1906-05-01,,,,,0,0
1906-06-01,,,,,0,0
1906-07-01,,,,,0,0
1906-08-01,,,,,0,0
1906-09-01,,,,,0,0
1906-10-01,,,,,0,0
1906-11-01,,,,,0,0
1906-12-01,,,,,0,0
1907-01-01,,,,,0,0
1907-02-01,,,,,0,0
1907-03-01,,,,,0,0
1907-04-01,,,,,0,0
1907-05-01,,,,,0,0
1907-06-01,,,,,0,1
1907-07-01,,,,,1,1
1907-08-01,,,,,1,1
1907-09-01,,,,,1,1
1907-10-01,,,,,1,1
1907-11-01,,,,,1,1
1907-12-01,,,,,1,1
1908-01-01,,,,,1,1
1908-02-01,,,,,1,1
1908-03-01,,,,,1,1
1908-04-01,,,,,1,1
1908-05-01,,,,,1,1
1908-06-01,,,,,1,1
1908-07-01,,,,,1,0
1908-08-01,,,,,0,0
1908-09-01,,,,,0,0
1908-10-01,,,,,0,0
1908-11-01,,,,,0,0
1908-12-01,,,,,0,0
1909-01-01,,,,,0,0
1909-02-01,,,,,0,0
1909-03-01,,,,,0,0
1909-04-01,,,,,0,0
1909-05-01,,,,,0,0
1909-06-01,,,,,0,0
1909-07-01,,,,,0,0
1909-08-01,,,,,0,0
1909-09-01,,,,,0,0
1909-10-01,,,,,0,0
1909-11-01,,,,,0,0
1909-12-01,,,,,0,0
1910-01-01,,,,,0,0
1910-02-01,,,,,0,1
1910-03-01,,,,,1,1
1910-04-01,,,,,1,1
1910-05-01,,,,,1,1
1910-06-01,,,,,1,1
1910-07-01,,,,,1,1
1910-08-01,,,,,1,1
1910-09-01,,,,,1,1
1910-10-01,,,,,1,1
1910-11-01,,,,,1,1
1910-12-01,,,,,1,1
1911-01-01,,,,,1,1
1911-02-01,,,,,1,1
1911-03-01,,,,,1,1
1911-04-01,,,,,1,1
1911-05-01,,,,,1,1
1911-06-01,,,,,1,1
1911-07-01,,,,,1,1
1911-08-01,,,,,1,1
1911-09-01,,,,,1,1
1911-10-01,,,,,1,1
1911-11-01,,,,,1,1
1911-12-01,,,,,1,1
1912-01-01,,,,,1,1
1912-02-01,,,,,1,0
1912-03-01,,,,,0,0
1912-04-01,,,,,0,0
1912-05-01,,,,,0,0
1912-06-01,,,,,0,0
1912-07-01,,,,,0,0
1912-08-01,,,,,0,0
1912-09-01,,,,,0,0
1912-10-01,,,,,0,0
1912-11-01,,,,,0,0
1912-12-01,,,,,0,0
1913-01-01,,,,,0,0
1913-02-01,,,,,0,1
1913-03-01,,,,,1,1
1913-04-01,,,,,1,1
1913-05-01,,,,,1,1
1913-06-01,,,,,1,1
1913-07-01,,,,,1,1
1913-08-01,,,,,1,1
1913-09-01,,,,,1,1
1913-10-01,,,,,1,1
1913-11-01,,,,,1,1
1913-12-01,,,,,1,1
1914-01-01,,,,,1,1
1914-02-01,,,,,1,1
1914-03-01,,,,,1,1
1914-04-01,,,,,1,1
1914-05-01,,,,,1,1
1914-06-01,,,,,1,1
1914-07-01,,,,,1,1
1914-08-01,,,,,1,1
1914-09-01,,,,,1,1
1914-10-01,,,,,1,1
1914-11-01,,,,,1,1
1914-12-01,,,,,1,1
1915-01-01,,,,,1,0
1915-02-01,,,,,0,0
1915-03-01,,,,,0,0
1915-04-01,,,,,0,0
1915-05-01,,,,,0,0
1915-06-01,,,,,0,0
1915-07-01,,,,,0,0
1915-08-01,,,,,0,0
1915-09-01,,,,,0,0
1915-10-01,,,,,0,0
1915-11-01,,,,,0,0
1915-12-01,,,,,0,0
1916-01-01,,,,,0,0
1916-02-01,,,,,0,0
1916-03-01,,,,,0,0
1916-04-01,,,,,0,0
1916-05-01,,,,,0,0
1916-06-01,,,,,0,0
1916-07-01,,,,,0,0
1916-08-01,,,,,0,0
1916-09-01,,,,,0,0
1916-10-01,,,,,0,0
1916-11-01,,,,,0,0
1916-12-01,,,,,0,0
1917-01-01,,,,,0,0
1917-02-01,,,,,0,0
1917-03-01,,,,,0,0
1917-04-01,,,,,0,0
1917-05-01,,,,,0,0
1917-06-01,,,,,0,0
1917-07-01,,,,,0,0
1917-08-01,,,,,0,0
1917-09-01,,,,,0,0
1917-10-01,,,,,0,0
1917-11-01,,,,,0,0
1917-12-01,,,,,0,0
1918-01-01,,,,,0,0
1918-02-01,,,,,0,0
1918-03-01,,,,,0,0
1918-04-01,,,,,0,0
1918-05-01,,,,,0,0
1918-06-01,,,,,0,0
1918-07-01,,,,,0,0
1918-08-01,,,,,0,0
1918-09-01,,,,,0,1
1918-10-01,,,,,1,1
1918-11-01,,,,,1,1
1918-12-01,,,,,1,1
1919-01-01,,5.0124,,,1,1
1919-02-01,,4.7908,,,1,1
1919-03-01,,4.6524,,,1,1
1919-04-01,,4.7355,,,1,0
1919-05-01,,4.7632,,,0,0
1919-06-01,,5.0678,,,0,0
1919-07-01,,5.3724,,,0,0
1919-08-01,,5.4555,,,0,0
1919-09-01,,5.3447,,,0,0
1919-10-01,,5.2893,,,0,0
1919-11-01,,5.2062,,,0,0
1919-12-01,,5.2893,,,0,0
1920-01-01,,5.7878,,,0,0
1920-02-01,,5.7878,,,0,1
1920-03-01,,5.677,,,1,1
1920-04-01,,5.3724,,,1,1
1920-05-01,,5.5109,,,1,1
1920-06-01,,5.5663,,,1,1
1920-07-01,,5.4278,,,1,1
1920-08-01,,5.4555,,,1,1
1920-09-01,,5.2616,,,1,1
1920-10-01,,5.0401,,,1,1
1920-11-01,,4.6247,,,1,1
1920-12-01,,4.3478,,,1,1
1921-01-01,,4.0985,,,1,1
1921-02-01,,4.0155,,,1,1
1921-03-01,,3.9047,,,1,1
1921-04-01,,3.9047,,,1,1
1921-05-01,,4.0155,,,1,1
1921-06-01,,3.9878,,,1,1
1921-07-01,,3.9601,,,1,1
1921-08-01,,4.0985,,,1,0
1921-09-01,,4.1262,,,0,0
1921-10-01,,4.3755,,,0,0
1921-11-01,,4.3201,,,0,0
1921-12-01,,4.2924,,,0,0
1922-01-01,,4.4585,,,0,0
1922-02-01,,4.6524,,,0,0
1922-03-01,,4.9016,,,0,0
1922-04-01,,4.7355,,,0,0
1922-05-01,,4.9847,,,0,0
1922-06-01,,5.2339,,,0,0
1922-07-01,,5.2339,,,0,0
1922-08-01,,5.1232,,,0,0
1922-09-01,,5.4001,,,0,0
1922-10-01,,5.7047,,,0,0
1922-11-01,,5.9539,,,0,0
1922-12-01,,6.1201,,,0,0
1923-01-01,,5.9816,,,0,0
1923-02-01,,6.0647,,,0,0
1923-03-01,,6.2586,,,0,0
1923-04-01,,6.397,,,0,0
1923-05-01,,6.4801,,,0,0
1923-06-01,,6.4247,,,0,1
1923-07-01,,6.3693,,,1,1
1923-08-01,,6.2586,,,1,1
1923-09-01,,6.1201,,,1,1
1923-10-01,,6.0924,,,1,1
1923-11-01,,6.0924,,,1,1
1923-12-01,,5.9539,,,1,1
1924-01-01,,6.0924,,,1,1
1924-02-01,,6.2032,,,1,1
1924-03-01,,6.0924,,,1,1
1924-04-01,,5.8986,,,1,1
1924-05-01,,5.6493,,,1,1
1924-06-01,,5.4001,,,1,1
1924-07-01,,5.317,,,1,1
1924-08-01,,5.5109,,,1,0
1924-09-01,,5.7047,,,0,0
1924-10-01,,5.8432,,,0,0
1924-11-01,,5.954,,,0,0
1924-12-01,,6.1201,,,0,0
1925-01-01,,6.314,,,0,0
1925-02-01,,6.314,,,0,0
1925-03-01,,6.314,,,0,0
1925-04-01,,6.3693,,,0,0
1925-05-01,,6.3416,,,0,0
1925-06-01,,6.2863,,,0,0
1925-07-01,,6.4524,,,0,0
1925-08-01,,6.3416,,,0,0
1925-09-01,,6.2586,,,0,0
1925-10-01,,6.5078,,,0,0
1925-11-01,,6.6463,,,0,0
1925-12-01,,6.7293,,,0,0
1926-01-01,,6.6186,,,0,0
1926-02-01,,6.6186,,,0,0
1926-03-01,,6.7017,,,0,0
1926-04-01,,6.7017,,,0,0
1926-05-01,,6.6463,,,0,0
1926-06-01,,6.7293,,,0,0
1926-07-01,,6.757,,,0,0
1926-08-01,,6.8401,,,0,0
1926-09-01,,6.9509,,,0,0
1926-10-01,,6.9509,,,0,0
1926-11-01,,6.9232,,,0,1
1926-12-01,,6.8955,,,1,1
1927-01-01,,6.8678,,,1,1
1927-02-01,,6.9232,,,1,1
1927-03-01,,7.0063,,,1,1
1927-04-01,,6.8401,,,1,1
1927-05-01,,6.8955,,,1,1
1927-06-01,,6.8678,,,1,1
1927-07-01,,6.7847,,,1,1
1927-08-01,,6.7847,,,1,1
1927-09-01,,6.674,,,1,1
1927-10-01,,6.5355,,,1,1
1927-11-01,,6.5355,,,1,1
1927-12-01,,6.5632,,,1,0
1928-01-01,,6.7017,,,0,0
1928-02-01,,6.757,,,0,0
1928-03-01,,6.8124,,,0,0
1928-04-01,,6.7847,,,0,0
1928-05-01,,6.8678,,,0,0
1928-06-01,,6.9232,,,0,0
1928-07-01,,7.0063,,,0,0
1928-08-01,,7.1447,,,0,0
1928-09-01,,7.2001,,,0,0
1928-10-01,,7.3386,,,0,0
1928-11-01,,7.477,,,0,0
1928-12-01,,7.6155,,,0,0
1929-01-01,,7.7263,,,0,0
1929-02-01,,7.6986,,,0,0
1929-03-01,,7.7263,,,0,0
1929-04-01,,7.8648,,,0,0
1929-05-01,,8.0032,,,0,0
1929-06-01,,8.0586,,,0,0
1929-07-01,,8.1694,,,0,0
